title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
OFF CUT - Plotter de Recorte OFF PAPER,白色的,1492.66,https://cf.shopee.com.br/file/br-11134207-820lj-mmmw4vgduewwfe,http://shopee.com.br/product/346931325/22194966979,School & Office Equipment,Pen Knives & Paper Cutters,IVCN2026051110315,229441200184,,P2,2026/5/14,22194966979,1492.66,高价品，流量翻倍,2
Mecolour 半自动平板热升华打印机，带滑动抽屉，38x38厘米型,110V 38*38厘米,506,https://cf.shopee.com.br/file/br-11134207-7r98o-lvya73u0tbbm45,http://shopee.com.br/product/1049850872/22897117707,School & Office Equipment,Others,IVCN202605120011,169705305054,https://detail.1688.com/offer/931604487572.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0bf8ca8917651899134472894e0fca&token=rO20P9i%2BsBLV53N%2BjoyZhiV2EBjdrgAaeMdPK2bB%2FDYLoJDVSBAskz2OC21DJJYv,P0,2026/5/14,22897117707,506,高价品，流量翻倍,2
包装透明胶带批发 100 200 300 米长 棕褐色包装胶带,300米清晰,0.76,https://cf.shopee.ph/file/ph-11134207-7r98s-lsqdjf7lhqt1de,http://shopee.ph/product/16946781/20893324686,School & Office Equipment,Strings & Tapes,IVCN2026051110331,148373111265,https://detail.1688.com/offer/854984057186.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2150072f17369249074802615e0f0e&token=5DoipDc0C6NpkOK89tkMYZpcep%2FBFXoKjqsK3xu15%2Ftmj%2BxjCQmzD52iTCpHkCjt,P1,2026/5/14,20893324686,0.76,低价品,1
佳能科学计算器 F-789Sga-Tbk 清晰版,佳能科学计算器 F-789Sga-Tbk 清晰版,52,https://cf.shopee.ph/file/ph-11134207-7r992-m085v8kbfhfod6,http://shopee.ph/product/75450137/15261377743,School & Office Equipment,Calculators,IVCN2026051110339,105737744803,https://detail.1688.com/offer/693721718862.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i21&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P0,2026/5/14,15261377743,52,高价品，流量翻倍,1
天龙 Flexio Fx799VN 科学计算器 - 学生计算器，7 年保修，允许在考场使用。,黑色 - V25,5.88,https://cf.shopee.vn/file/vn-11134207-81ztc-mml4vklou6f5a6,http://shopee.vn/product/101480242/22471594302,School & Office Equipment,Calculators,IVCN2026051110304,109209295925,https://detail.1688.com/offer/973602115933.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i19&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,P0,2026/5/14,22471594302,5.88,高价品，流量翻倍,1
便携式蓝牙标签打印机 L12 型号 - 含 1 卷免费热敏标签纸,L12 白色 + 标签,59.95,https://cf.shopee.com.br/file/cn-11134207-820l4-mkhw3m4486px8c,http://shopee.com.br/product/1582999180/44656364905,School & Office Equipment,Label Printers,IVCN2026051110343,420574015250,https://detail.1688.com/offer/866990522913.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=42c1b701587140819b74d32db6d9099c&sessionid=706213df4c292149a116b5ed61648abd,P0,2026/5/14,44656364905,59.95,高价品，流量翻倍,1
多功能电动剪刀，可剪裁布料、皮革、纸张和塑料。快速充电，转速400转/分钟。,一把剪刀,27.59,https://cf.shopee.com.br/file/br-11134201-820l9-mngukt8t9lvm54,http://shopee.com.br/product/791248992/29444586294,School & Office Equipment,Scissors,IVCN202605120001,330778764854,,P2,2026/5/14,29444586294,27.59,高价品，流量翻倍,2
双面白板，带滚轮支架，120x200厘米。**请每单订购1套。**,磁铁,628.26,https://cf.shopee.co.th/file/th-11134207-7r98r-llpwezz465tz31,http://shopee.co.th/product/127601639/7344486875,School & Office Equipment,Writing Boards & Board Stands,IVCN2026051110348,30464007965,,P2,2026/5/14,7344486875,628.26,高价品，流量翻倍,1
32支装丙烯颜料画笔套装，优质尼龙刷毛，包含圆头笔、榛形笔、平头笔和通风笔。,32件,31.01,https://cf.shopee.com.br/file/br-11134207-820mg-mn62rvzokt1e0e,http://shopee.com.br/product/1308629416/55859014137,Art Supplies,Paint Brushes,IVCN2026051110363,430800077765,,P2,2026/5/14,55859014137,31.01,高价品，流量翻倍,1
【6公斤装】包装胶带，超强粘性塑料芯胶带，白色，6公斤/包，6卷,3卷=18卷,85.77,https://cf.shopee.vn/file/sg-11134201-7rfi3-m92v2g3n06938c,http://shopee.vn/product/1529189723/27385136777,School & Office Equipment,Strings & Tapes,IVCN2026051110365,243312553273,https://detail.1688.com/offer/618497796277.html?kj_agent_plugin=aliprice&fromkv=xytTrace:21360a2e17737376990782697e0f97&token=SFh97uWt%2FIzUnPx913it0LlWjBe%2BBNcKIBDl%2Bt%2Bu6Na7iPvvFH4lxLhYo7qPChFW,P1,2026/5/14,27385136777,85.77,高价品，流量翻倍,2
【5.5 大促】LOKLiK 切割机 2 DIY 切割机绘图仪 5 合 1 乙烯基切割机 220V 5 倍切割力 可切割 100 多种材料 AI 喷绘 13 英寸智能模切机,蓝色的,374.32,https://cf.shopee.ph/file/cn-11134207-7ras8-m4a2n4gr5cdz54,http://shopee.ph/product/857717564/27968802369,School & Office Equipment,Pen Knives & Paper Cutters,IVCN2026051110381,158904927450,,P2,2026/5/14,27968802369,374.32,高价品，流量翻倍,2
高品质日本热熔胶，速干，20克装，50支/盒。适用于金属和木材加工。品质卓越，价格实惠。,一袋装 50 管热熔胶。,19.35,https://cf.shopee.co.th/file/th-11134207-7r992-lz90lgq46fu1e0,http://shopee.co.th/product/54723061/18100573928,School & Office Equipment,Glues,IVCN202605120021,195314659172,https://detail.1688.com/offer/35109464665.html,P1,2026/5/14,18100573928,19.35,高价品，流量翻倍,2
120x90厘米白板，光滑白色学校黑板，带软铝框 + 5支板擦笔,120x90厘米白板，光滑白色学校黑板，带软铝框 + 5支板擦笔,41.31,https://cf.shopee.com.br/file/br-11134207-81zuh-mky39ri4l43n01,http://shopee.com.br/product/419677986/20697748400,School & Office Equipment,Writing Boards & Board Stands,IVCN2026051110387,219163869152,https://detail.1688.com/offer/894325820758.html,P1,2026/5/14,20697748400,41.31,高价品，流量翻倍,1
免运费【大包装】路易斯遮蔽胶带，可撕纸遮蔽胶带，绉纹遮蔽胶带，鸡皮胶带，用于油漆和喷涂，带防水涂层。,2英寸（36卷）,19.2,https://cf.shopee.co.th/file/th-11134207-7r98u-lydn3zl5g42x93,http://shopee.co.th/product/44405521/11812319199,School & Office Equipment,Strings & Tapes,IVCN2026051110393,67786592316,https://detail.1688.com/offer/915179433851.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i6&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,2026/5/14,11812319199,19.2,高价品，流量翻倍,5
3 件套滑动式徽章机套装，适用于纽扣、胸针和徽章（32/44/58 毫米，150 枚纽扣）,Azul-32/44/58mm 150 按钮,368.47,https://cf.shopee.com.br/file/br-11134207-820lc-mm9yvsgkugp27a,http://shopee.com.br/product/1578690794/58257659834,School & Office Equipment,Others,IVCN2026051110397,169414897521,,P2,2026/5/14,58257659834,368.47,高价品，流量翻倍,1
高品质日本热熔胶，速干，20克装，50支/盒。适用于金属和木材加工。品质卓越，价格实惠。,50管热熔胶 - 盒装,32.15,https://cf.shopee.co.th/file/th-11134207-7r990-lz90lpfxf7nld3,http://shopee.co.th/product/54723061/18100573928,School & Office Equipment,Glues,IVCN202605120021,195314659173,https://detail.1688.com/offer/679670345918.html,P1,2026/5/14,18100573928,32.15,高价品，流量翻倍,2
【清仓特卖】透明/不透明胶带 4.8厘米 - 200码（1.8公斤/包，6卷），100码、200码胶带，适用于纸箱封口和包装,透明 - 透明，1 包 6 卷 - 2 公斤,6.32,https://cf.shopee.vn/file/vn-11134207-820l4-mj523r7qhvk4ff,http://shopee.vn/product/242520587/18320575698,School & Office Equipment,Strings & Tapes,IVCN2026051110403,305563681873,https://detail.1688.com/offer/922903049491.html?kj_agent_plugin=aliprice&fromkv=xytTrace:213f867c17683732571408299e0f3b&token=k%2BM25%2FhObXm%2FGb7h4GaQOBqjLEyL92sDlXmHOkl353elkLPshr2B8Y%2FcqVmhoO2c,P1,2026/5/14,18320575698,6.32,中价品,5
多功能电动剪刀，可剪裁布料、皮革、纸张和塑料。快速充电，转速400转/分钟。,2个剪刀头,33.28,https://cf.shopee.com.br/file/br-11134201-820m2-mngumfdnxerkcc,http://shopee.com.br/product/1134821898/23499426865,School & Office Equipment,Scissors,IVCN202605120025,238804771446,,P2,2026/5/14,23499426865,33.28,高价品，流量翻倍,2
电动布料剪刀，USB充电，12V双电压,蓝色 + 2 个备用刀片,33.67,https://cf.shopee.com.br/file/br-11134207-81ztc-mjzdfk48zpj74a,http://shopee.com.br/product/1346452327/58253171322,School & Office Equipment,Scissors,IVCN2026051110405,229436581924,,P2,2026/5/14,58253171322,33.67,高价品，流量翻倍,2
这款裁纸刀一次最多可裁切 12 张 A4、B5、A5、B6 和 B7 尺寸的纸张，并配有压力调节装置、锁定机构和裁切导轨。,这款裁纸刀一次最多可裁切 12 张 A4、B5、A5、B6 和 B7 尺寸的纸张，并配有压力调节装置、锁定机构和裁切导轨。,24.54,https://cf.shopee.com.br/file/br-11134207-7r98o-lq1x9iwap3b775,http://shopee.com.br/product/283838689/19597606207,School & Office Equipment,Pen Knives & Paper Cutters,IVCN2026051110407,199591852942,https://detail.1688.com/offer/714808503621.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/5/14,19597606207,24.54,高价品，流量翻倍,1
【清仓特卖】透明/不透明胶带 4.8厘米 - 200码（1.8公斤/包，6卷），100码、200码胶带，适用于纸箱封口和包装,透明 - 透明，1 包 6 卷 - 1.8 公斤,4.88,https://cf.shopee.vn/file/vn-11134207-820l4-mj523r7qhvk4ff,http://shopee.vn/product/242520587/18320575698,School & Office Equipment,Strings & Tapes,IVCN2026051110403,181095781299,https://detail.1688.com/offer/655691690230.html,P1,2026/5/14,18320575698,4.88,中价品,5
1盒包装胶带 100/200米（长）透明4.8厘米（宽）箱封胶带 / 恒汇达,300米净空 36卷,176.02,https://cf.shopee.ph/file/ph-11134207-81zte-mi71ykrp1q88cd,http://shopee.ph/product/1555724429/43208732071,School & Office Equipment,Strings & Tapes,IVCN2026051110413,365292025478,https://detail.1688.com/offer/597535673775.html?spm=a26352.13672862.offerlist.4.474e1a36ur6Ug8&offerId=597535673775&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=0c062479bac14b988de9a63fc86ded4c&skuId=5587073125469&forcePC=1769410564311,P1,2026/5/14,43208732071,176.02,高价品，流量翻倍,1
磁性白板书写板,1200毫米 x 2400毫米 - 4英尺 x 8英尺,225.63,https://cf.shopee.com.my/file/my-11134207-7r98v-ly3bgmnc1wco5c,http://shopee.com.my/product/325637854/6764415457,School & Office Equipment,Writing Boards & Board Stands,IVCN2026051110421,204825195957,,P2,2026/5/14,6764415457,225.63,高价品，流量翻倍,2
20卷装杜蕾斯宽幅透明胶带，500米长，适用于大型包装盒和包裹,20卷装杜蕾斯宽幅透明胶带，500米长，适用于大型包装盒和包裹,136.78,https://cf.shopee.com.br/file/br-11134207-820m9-mlpkwesfkqv88d,http://shopee.com.br/product/1461901696/58256765729,School & Office Equipment,Strings & Tapes,IVCN2026051110428,199619362754,https://detail.1688.com/offer/721464081470.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=067f7c44ba634a128b32c8e22501aaad&sessionid=1fe8d452dc7c44d1b3171de9d7d07122,P1,2026/5/14,58256765729,136.78,高价品，流量翻倍,1
10 卷 100 米长的透明强力胶带，48x100 毫米厚，​​40 微米。,10 卷 100 米长的透明强力胶带，48x100 毫米厚，​​40 微米。,2.1,https://cf.shopee.com.br/file/br-11134207-7r98o-lv3919bsrgy750,http://shopee.com.br/product/403640709/23892497286,School & Office Equipment,Strings & Tapes,IVCN2026051110438,229399027274,https://detail.1688.com/offer/793435539925.html,P0,2026/5/14,23892497286,2.1,高价品，流量翻倍,1
L100 110mm 黑白热敏标签打印机，兼容蓝牙/USB 和 Android/iOS/Windows/Mac 系统,紫色的,269,https://cf.shopee.com.br/file/br-11134207-81ztc-mjz92v2kdngj70,http://shopee.com.br/product/1515064368/58204117560,School & Office Equipment,Label Printers,IVCN2026051110446,209617463432,https://detail.1688.com/offer/994304213430.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=1a5fab40104d4543bff3fa888d25e7ea&sessionid=04649511c0ffeebbd003a2504f718c3b,P0,2026/5/14,58204117560,269,高价品，流量翻倍,2
[1盒/6卷] 托盘缠绕用拉伸膜，厚度有15微米和17微米两种规格，长度为300米。,15微米，6卷一盒,60.48,https://cf.shopee.co.th/file/th-11134207-7r98p-lxi5l6rsn5jjca,http://shopee.co.th/product/44405521/19185695743,School & Office Equipment,Others,IVCN2026051110252,88811997599,https://detail.1688.com/offer/927458057671.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212b9de517695089665972430e11b7&token=%2FQUT%2BkFM1ICnr5wnu%2FcDlUv9JO3Oir7ClmCuHPl6P7eQR06fSNLDrH9HnyEvkDDN,P1,2026/5/14,19185695743,60.48,高价品，流量翻倍,1
[1盒/6卷] 托盘缠绕用拉伸膜，厚度有15微米和17微米两种规格，长度为300米。,17微米，6卷一盒,61.97,https://cf.shopee.co.th/file/th-11134207-7ra0i-mb92u3p6j1vaf3,http://shopee.co.th/product/1566035159/43705373274,School & Office Equipment,Others,IVCN2026051110448,270453661279,https://detail.1688.com/offer/701455757099.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/5/14,43705373274,61.97,高价品，流量翻倍,2
Silhouette Cameo 5 白色纸张切割和压痕机,Silhouette Cameo 5 白色纸张切割和压痕机,1746.7,https://cf.shopee.com.br/file/br-11134207-81z1k-mgqkf31tts050d,http://shopee.com.br/product/434258934/22299186384,School & Office Equipment,Pen Knives & Paper Cutters,IVCN202605120029,189614197517,,P2,2026/5/14,22299186384,1746.7,高价品，流量翻倍,1
【清仓特卖】透明/不透明胶带 4.8厘米 - 6卷/包 1.2公斤 100码 - 1.8公斤 200码 - 2公斤 300码 - 2.4公斤 400码 纸箱封口包装胶带,透明胶带，1.8公斤 200码,3.44,https://cf.shopee.vn/file/vn-11134207-81ztc-mm01dn2w2pz977,http://shopee.vn/product/1743607791/47657421271,School & Office Equipment,Strings & Tapes,IVCN2026051110462,340658518020,,P2,2026/5/14,47657421271,3.44,中价品,3
10 管 Tek Bond 793 20g 速干胶套装，超级多用途胶水。,10 管 Tek Bond 793 20g 速干胶套装，超级多用途胶水。,29.15,https://cf.shopee.com.br/file/sg-11134201-822wz-mi4snyvuvgn7ed,http://shopee.com.br/product/1666778605/22594720628,School & Office Equipment,Glues,IVCN2026051110471,229433951388,https://detail.1688.com/offer/896245279654.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2127a84b17719020719784487e10bc&token=g1debRsHapVilUm88bMJkZxy%2BRN1UM923CSm%2Fs1uPna66ISk7KK4MiSIdAal1wDK,P1,2026/5/14,22594720628,29.15,高价品，流量翻倍,1
滑动式徽章机套装，适用于制作纽扣、胸针、徽章，尺寸32/44/50/58毫米，含100枚纽扣，颜色：Mecolour,32/44/58毫米圆,117.64,https://cf.shopee.com.br/file/br-11134207-81ztc-mkf6jpt7nhmqe0,http://shopee.com.br/product/1461429714/23598811460,School & Office Equipment,Others,IVCN2026051110475,238791204473,https://detail.1688.com/offer/871163603436.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/5/14,23598811460,117.64,高价品，流量翻倍,1
MECOLOUR FM365 BOPP覆膜机及增塑剂 A3/A4 600W 冷热两用 110V/220V,110伏,975.53,https://cf.shopee.com.br/file/br-11134207-81z1k-mdx2qfaynkzmba,http://shopee.com.br/product/1049850872/26990528105,School & Office Equipment,Others,IVCN2026051110492,271264737953,,P2,2026/5/14,26990528105,975.53,高价品，流量翻倍,1
热敏不干胶标签打印机，110mm，USB和蓝牙无线连接，203DPI，兼容多种系统，型号WKDY-81X,机器 + 5卷标签,297.92,https://cf.shopee.com.br/file/sg-11134201-8262e-mmim6t2ni8013b,http://shopee.com.br/product/1719325568/58258025786,School & Office Equipment,Label Printers,IVCN2026051110496,149553301068,,P2,2026/5/14,58258025786,297.92,高价品，流量翻倍,2
W20A 线圈装订机 Officom A4 装订机 重型 3:1 装订笔记本 34 孔 20 页,W20A 线圈装订机 Officom A4 装订机 重型 3:1 装订笔记本 34 孔 20 页,351.53,https://cf.shopee.ph/file/ph-11134207-81ztd-mjtcmhbzaeps72,http://shopee.ph/product/274874355/29832706526,School & Office Equipment,Others,IVCN2026051110507,258125725123,https://detail.1688.com/offer/785344318088.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/5/14,29832706526,351.53,高价品，流量翻倍,1
MECOLOUR FM365 600W 专业冷热塑封机 A3 A4,220伏,933.25,https://cf.shopee.com.br/file/br-11134207-820le-mma3chz6kq9z3b,http://shopee.com.br/product/1063011522/44429532024,School & Office Equipment,Others,IVCN2026051110509,267482188373,,P2,2026/5/14,44429532024,933.25,高价品，流量翻倍,2
裁切机 - 裁切纸 绘图仪 + 覆膜机 + 偏振光,蓝色的,1569.23,https://cf.shopee.com.br/file/br-11134207-7r98o-m1tyhso617ze85,http://shopee.com.br/product/346931325/22298800490,School & Office Equipment,Pen Knives & Paper Cutters,IVCN2026051110278,209177791778,,P2,2026/5/14,22298800490,1569.23,高价品，流量翻倍,2
一盒装有 30 卷透明胶带，45x100 米。,一盒装有 30 卷透明胶带，45x100 米。,79.8,https://cf.shopee.com.br/file/br-11134207-7r98o-ltlen3zaslyh28,http://shopee.com.br/product/404929199/23392933660,School & Office Equipment,Strings & Tapes,IVCN202605120039,209594150159,https://detail.1688.com/offer/978491027204.html?spm=a26352.13672862.offerlist.4.2ca71e62B75lPU&offerId=978491027204&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=5936494037660&trace_log=normal&uuid=8e3f215f0e2c442789ebaf2545667cfc&forcePC=1760089590178,P0,2026/5/14,23392933660,79.8,高价品，流量翻倍,1
MECOLOUR FM365 600W 专业冷热塑封机 A3 A4,110伏,933.95,https://cf.shopee.com.br/file/br-11134207-820md-mma3chz6jbpj7e,http://shopee.com.br/product/1063011522/44429532024,School & Office Equipment,Others,IVCN2026051110509,267482188372,,P2,2026/5/14,44429532024,933.95,高价品，流量翻倍,2
JST PL-230E 127V 六合一 A4 覆膜机、裁切机和封口机,JST PL-230E 127V 六合一 A4 覆膜机、裁切机和封口机,142.12,https://cf.shopee.com.br/file/sg-11134201-821ga-mgxz8qm9ape78a,http://shopee.com.br/product/272868574/19397664167,School & Office Equipment,Others,IVCN2026051110526,179707731775,https://detail.1688.com/offer/651729193627.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bf8ca8917770159058988189e0dfd&token=sfUm8xi4dgnimqFlZHENzeYb1qxmBsqUGH7XYs3qDDLJ%2Bp76CvSq6Ie45OZuGol%2B,P1,2026/5/14,19397664167,142.12,高价品，流量翻倍,1
杜蕾斯5卷装胶带，500米，宽型，透明，大号，适用于包装、盒子和包裹,杜蕾斯5卷装胶带，500米，宽型，透明，大号，适用于包装、盒子和包裹,22.57,https://cf.shopee.com.br/file/br-11134207-7r98o-lqxept1jslql76,http://shopee.com.br/product/885984605/23597314071,School & Office Equipment,Strings & Tapes,IVCN2026051110536,119718590013,https://detail.1688.com/offer/777466101643.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/5/14,23597314071,22.57,高价品，流量翻倍,1
低粘度环氧树脂 - 300克套装。A+B（树脂和固化剂），适用于木材和工艺品。,低粘度环氧树脂 - 300克套装。A+B（树脂和固化剂），适用于木材和工艺品。,17.93,https://cf.shopee.com.br/file/br-11134207-7r98o-mcns811bg0shdf,http://shopee.com.br/product/389272043/21699233645,Art Supplies,Others,IVCN2026051110547,219593957953,https://detail.1688.com/offer/657669818694.html?spm=a26352.13672862.offerlist.5.72e377b7n5uJPf&offerId=657669818694&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=4914619986627&trace_log=normal&uuid=6c5e49205da545df889e39f9c2428675&forcePC=1765252697869,P1,2026/5/14,21699233645,17.93,高价品，流量翻倍,1
